index,Disease,Disease_Code,State,Year,Gender,Age,Age_Code,STD_Cases,Population,Rate_per_100K
35063,Gonorrhea,280,Missouri,1998,Female,0-14 years,0-14,166,575398,28.85
35064,Gonorrhea,280,Missouri,1998,Female,15-19 years,15-19,2022,201499,1003.48
35065,Gonorrhea,280,Missouri,1998,Female,20-24 years,20-24,1450,177465,817.06
35066,Gonorrhea,280,Missouri,1998,Female,25-29 years,25-29,607,186036,326.28
35067,Gonorrhea,280,Missouri,1998,Female,30-34 years,30-34,314,195494,160.62
35068,Gonorrhea,280,Missouri,1998,Female,35-39 years,35-39,205,227951,89.93
35069,Gonorrhea,280,Missouri,1998,Female,40+ years,40+,160,1278777,12.51
35070,Gonorrhea,280,Missouri,1999,Female,0-14 years,0-14,177,576000,30.73
35071,Gonorrhea,280,Missouri,1999,Female,15-19 years,15-19,1854,202455,915.76
35072,Gonorrhea,280,Missouri,1999,Female,20-24 years,20-24,1333,181344,735.07
35073,Gonorrhea,280,Missouri,1999,Female,25-29 years,25-29,508,184038,276.03
35074,Gonorrhea,280,Missouri,1999,Female,30-34 years,30-34,286,190122,150.43
35075,Gonorrhea,280,Missouri,1999,Female,35-39 years,35-39,154,226350,68.04
35076,Gonorrhea,280,Missouri,1999,Female,40+ years,40+,128,1299857,9.85
35077,Gonorrhea,280,Missouri,1999,Female,Unknown,99,19,,
35078,Gonorrhea,280,Missouri,2000,Female,0-14 years,0-14,151,568105,26.58
35079,Gonorrhea,280,Missouri,2000,Female,15-19 years,15-19,1825,201880,904
35080,Gonorrhea,280,Missouri,2000,Female,20-24 years,20-24,1410,187774,750.9
35081,Gonorrhea,280,Missouri,2000,Female,25-29 years,25-29,544,181455,299.8
35082,Gonorrhea,280,Missouri,2000,Female,30-34 years,30-34,269,190684,141.07
35083,Gonorrhea,280,Missouri,2000,Female,35-39 years,35-39,154,222635,69.17
35084,Gonorrhea,280,Missouri,2000,Female,40+ years,40+,125,1327379,9.42
35085,Gonorrhea,280,Missouri,2000,Female,Unknown,99,11,,
